PALB2	BRCA1
G6PD	0.308478622517688	0.341900019384054
HMOX1	-0.0270450735126047	-0.0379458468566642
FTH1	-0.0756354735152371	-0.0840334035318055
GCLC	0.259618315220568	0.242545503824047
GCLM	0.234906484288959	0.20637960777836
GSR	0.137151672312431	0.131350686096161
SLC7A11	0.254120780783492	0.282345341759892
GPX2	0.168728161555614	0.25805547736297
GSTA1	-0.213108434926634	-0.221803628505358
GSTA2	-0.248963581398888	-0.259792978422335
GSTA3	-0.0295805632018703	-0.0890512091168308
GSTA5	-0.0216574275973202	-0.0803899611866726
GSTM1	-0.0290865465481566	-0.0279105526922383
GSTM2	-0.0825284376849301	-0.139005753609837
GSTM3	0.010482771054339	-0.0621896062577456
GSTP1	0.208618554478615	0.185857143324588
NQO1	0.218371761726297	0.178796397503567
TXN	0.166609026399917	0.246118028287382
TXNRD1	0.291456299425205	0.306376206170145
SRXN1	0.163404140337509	0.127003125297095
PGD	0.361194160041386	0.422388685861173
IDH1	0.100606368636188	0.123106374717846
ME1	0.137392261678306	0.146988756861447
FTL	-0.222126943746121	-0.138285571151931
CAT	-0.140026889816293	-0.16539779426589
CP	-0.13522971830528	-0.150320926247003
GPX1	-0.203602141102127	-0.160736639778605
GPX3	-0.411003745094764	-0.511864179576412
GPX4	-0.360952404508103	-0.368033066629988
GPX5	-0.0920152295410303	-0.0864165476241339
GPX6	0.034022164721695	0.043683981052098
GPX7	0.0548830859561863	0.0713337573214865
LPO	0.134129153480425	0.167327861796321
MPO	0.0825747699796055	0.223505594810481
PRDX1	0.179494235077142	0.185792542658801
PRDX2	-0.155263197995656	-0.216307172433639
PRDX3	0.0652897966514362	-0.047740176465979
PRDX4	0.012072780524858	0.0682689180776037
PRDX5	-0.267532784750343	-0.301061928227969
PRDX6	-0.13688555232544	-0.113327950168985
CCS	-0.342242337220399	-0.272125580547006
SOD1	-0.20572197787405	-0.192938744531741
SOD2	-0.0287717282120292	-0.0620013609220113
SOD3	-0.26408840749546	-0.257654639587557
GLRX	-0.144098243633134	-0.122070927481075
GLRX2	0.0552530557854767	0.112551810913235
GLRX3	0.413075973721078	0.408307494553289
GLRX5	-0.0236081635805956	-0.0366033254905606
MSRA	-0.357543915641466	-0.353173654778527
MT1A	-0.269780293630722	-0.20156093026108
MT1B	-0.0733844402506533	-0.0598770188066098
MT1E	-0.217074727860171	-0.233952360846734
MT1F	-0.260985068293186	-0.2563072526786
